,convex_area,area,eccentricity,extent,inertia_tensor-0-0,inertia_tensor-0-1,inertia_tensor-1-0,inertia_tensor-1-1,major_axis_length,minor_axis_length,perimeter,perimeter_area_ratio,mean_intensity,std_intensity,25th Percentile,75th Percentile,iqr,class
6,13049,11972,0.9294662042912922,0.4518417874396135,2074.2443501020707,-1063.6643407719132,-1063.6643407719132,1037.7310356515698,209.3491525516007,77.2304246912114,556.6000717874997,0.046491820229493795,174.9154211956522,92.180714895143,174.9154211956522,92.180714895143,-82.73470630050919,5
7,12502,11702,0.9410699843195641,0.46451254366465544,2072.990283145501,-1174.110473791983,-1174.110473791983,1117.213593739196,214.01841162266652,72.38357214635123,559.8132752230961,0.04783911085481935,173.906279771356,92.29244672908209,173.906279771356,92.29244672908209,-81.61383304227391,5
8,10967,10293,0.9307081807044217,0.4538359788359788,1753.779097848373,-928.1198989683874,-928.1198989683874,913.2881039822528,194.0046492169194,70.95964565518959,589.547293938864,0.05727652714843719,176.72504409171077,92.17666562395642,176.72504409171077,92.17666562395642,-84.54837846775435,5
9,9706,8933,0.9146806732663028,0.4451365357783536,1385.6510263496348,-713.1636149401277,-713.1636149401277,772.9308807589081,172.3008147060096,69.64007298518601,485.97265478953017,0.054401953967259616,170.56290279715634,98.4943123869176,170.56290279715634,98.4943123869176,-72.06859041023874,5
10,11103,10082,0.9169616423936571,0.41650830372634884,1536.784898803035,-849.9858074717688,-849.9858074717688,944.8622908988194,185.07779590946043,73.84148222053635,524.2569260369921,0.05199929835717042,186.039755983365,85.29040377547324,186.039755983365,85.29040377547324,-100.74935220789177,5
11,11991,10974,0.9303591051387741,0.4292083854818523,1845.2343631262702,-1035.1677358721445,-1035.1677358721445,1057.8179869801115,202.34766775677343,74.1906931838255,730.477272147525,0.0665643586793808,185.41863527325825,84.79703000702538,185.41863527325825,84.79703000702538,-100.62160526623286,5
12,13369,12430,0.9348374735316172,0.48460038986354775,2099.424396792595,-1188.947189454834,-1188.947189454834,1183.8535281146417,215.98789137485457,76.69209592884917,622.8610024378487,0.050109493357831755,177.9007927225471,85.53108837138736,177.9007927225471,85.53108837138736,-92.36970435115974,5
13,12023,11125,0.910944578842678,0.4666135391326231,1651.674033933089,-900.9391244539835,-900.9391244539835,1034.281099861129,191.63862118199162,79.05644193974707,561.7127701597078,0.050491035519973734,167.50508905852416,99.79816331249694,167.50508905852416,99.79816331249694,-67.70692574602722,5
14,13383,12219,0.9021409570555292,0.4946963562753036,1887.043357824914,-870.9361671322298,-870.9361671322298,977.122385132167,196.55802439365394,84.80327195207175,549.7716446627535,0.044993178219392214,172.302024291498,87.07442166436104,172.302024291498,87.07442166436104,-85.22760262713695,5
15,13578,12727,0.9141831717331093,0.4863759697328696,1910.551350152712,-1029.8389700028702,-1029.8389700028702,1148.7782718198625,205.0437029157683,83.10447548809478,557.0853531617382,0.043771930004065235,178.1614629113005,83.09304722330748,178.1614629113005,83.09304722330748,-95.06841568799302,5
16,11538,10558,0.9107866055955675,0.43470026350461133,1640.375552926758,-786.1251601352963,-786.1251601352963,845.4774117323976,184.33932044029257,76.1095419389555,561.8549057834388,0.053216035781723695,171.4242012516469,100.60628703647066,171.4242012516469,100.60628703647066,-70.81791421517624,5
17,12714,11854,0.9034726598502364,0.48023010857235454,1648.4127892180918,-906.0380594659234,-906.0380594659234,1097.9970643048723,192.67041210311086,82.58734743521462,542.1564209736038,0.04573615834094852,166.75234970021066,95.51936735588494,166.75234970021066,95.51936735588494,-71.23298234432572,5
18,11842,10840,0.9248551488112036,0.41730828457037267,1721.6028978278468,-948.0175803280866,-948.0175803280866,995.4141729330352,194.88174301312162,74.11733516756884,572.1686142824235,0.05278308249837855,189.03462170208397,81.61953185400434,189.03462170208397,81.61953185400434,-107.41508984807963,5
19,11511,10654,0.9379814172648017,0.4248006379585327,1828.190760952322,-1067.120339748533,-1067.120339748533,1059.8820058717422,203.1037978790874,70.41314902967939,534.0142853498728,0.05012336074243221,172.99094896331738,98.62050967578385,172.99094896331738,98.62050967578385,-74.37043928753353,5
20,11467,10729,0.9336866185064493,0.4481620718462824,1731.281605518257,-1050.156712059577,-1050.156712059577,1105.1272723099703,200.5606472851413,71.81900031201197,517.7716446627535,0.04825907770181317,172.5820941241994,96.59417419609191,172.5820941241994,96.59417419609191,-75.98791992810747,5
21,12558,11570,0.9309686168553961,0.4607726005575468,1948.2359773249007,-1071.729228729862,-1071.729228729862,1077.1498545249729,206.67046798346277,75.45522495556202,550.7005768508881,0.04759728408391427,178.51669985397584,87.24970227350423,178.51669985397584,87.24970227350423,-91.26699758047161,5
22,14100,13230,0.891939730754851,0.5202107581000315,1754.2621220581957,-921.7520285957667,-921.7520285957667,1172.4393103467978,197.1768763368538,89.1543737374727,551.4284989122459,0.04168015864793998,157.52807486631016,100.19032021903304,157.52807486631016,100.19032021903304,-57.33775464727712,5
23,12144,11259,0.9395937966739694,0.45487233354880413,1978.1397564049983,-1148.6714568186164,-1148.6714568186164,1123.584535870725,210.7672934315942,72.1438611105051,534.2152954766495,0.047447845765756246,165.6428032751562,101.39709274626578,165.6428032751562,101.39709274626578,-64.24571052889043,5
24,11764,10898,0.914668128010996,0.4502189539783525,1649.3382320559265,-894.5889361439283,-894.5889361439283,998.2635726177243,190.82053769894233,77.13074138801558,533.0853531617383,0.048915888526494616,166.46462309620205,102.05816685123833,166.46462309620205,102.05816685123833,-64.40645624496372,5
25,13227,12357,0.9123724629492157,0.4639558459112413,1830.3149558831979,-977.8536966088632,-977.8536966088632,1098.5428312012098,200.33944351911916,82.01116975022482,563.4701294725885,0.045599265960393986,160.18363745588346,105.73875362901919,160.18363745588346,105.73875362901919,-54.44488382686427,5
26,13121,12134,0.9026348962051611,0.4889587362991618,1797.9379920824792,-895.469226568904,-895.469226568904,1034.3425673083188,195.53436723664325,84.15937368836762,553.1858582251266,0.04558973613195373,169.0510289060821,94.48298372561734,169.0510289060821,94.48298372561734,-74.56804518046476,5
27,11794,10899,0.9193567455069641,0.4285545769109783,1657.767276583303,-928.1753668110522,-928.1753668110522,1022.7659883156247,192.71715163298012,75.81973163269431,640.0447686219222,0.0587250911663384,188.1724467862011,81.93702076079467,188.1724467862011,81.93702076079467,-106.23542602540644,5
